uf,populacao_total,municipios
SP,46081801.0,645
MG,21393441.0,853
RJ,17223547.0,92
BA,14870907.0,417
PR,11890517.0,399
RS,11233263.0,497
PE,9562007.0,185
CE,9268836.0,184
PA,8711196.0,144
SC,8187029.0,295
GO,7423629.0,246
MA,7018211.0,217
AM,4321616.0,62
PB,4164468.0,223
ES,4126854.0,78
MT,3893659.0,142
RN,3455236.0,167
PI,3384547.0,224
AL,3220848.0,102
DF,2996899.0,1
MS,2924631.0,79
SE,2299425.0,75
RO,1751950.0,52
TO,1586859.0,139
AC,884372.0,22
AP,806517.0,16
RR,738772.0,15
